"","ID","Strain.x","Age","Weight.x","Clutch","shh_R2_spot","shh_M1_spot","shh_M2_spot","cap_transition","M1_spot_split_LR","shboob","Total_state","stateord","Symmetry","groupwt","nid","Age.dpc.","Date","Strain.y","Weight.y","Litter","Weekday","indata","age","poids","portee","agerel","poidscor","agecor","agepreditsanscor","poidscor2","agecor2","dev01","dev.inf","dev.sup","sd","dev05","dev15","ident"
"60","shh_15.5_14_371_DU","DUHi",15.5,371,"DU",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"371DU",15.5,"9/24/2014","DUHi",371,"DU",4,TRUE,15.5,5.91620206260743,"DU",0.5,6.04644975095856,16.0828716766173,15.8397396763013,5.97220856859842,15.9442864364372,15.8865280096579,15.531082971242,16.2712842668072,"001",15.851578063856,16.0446577149218,222
"61","shh_14.5_19_331_DP","DUHi",14.5,331,"DP",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"331DP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","shh_14.5_12_196-199_DH","DUHi",14.5,197.5,"DH",1,1,0,1,0,1,"1_1_1_1","202_1_1_1_1","-",202,"197.5DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","shh_14.0_05_220_DE","DUHi",14,220,"DE",1,1,0,1,0,1,"1_1_1_1","202_1_1_1_1","-",202,"220DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","shh_14.5_10_238_DI","DUHi",14.5,238,"DI",1,1,0,1,0,1,"1_1_1_1","202_1_1_1_1","-",202,"238DI",14.5,"3/4/2014","DUHi",238,"DI",3,TRUE,14.5,5.47227067367148,"DI",-0.5,5.24648675823417,14.5895891081347,15.0110575863427,5.37518359003343,14.8298261407132,14.909217203229,14.5637077692319,15.2705959160907,"001",14.9879106149504,14.6416831686092,137
"65","shh_14.5_15_209-216_DG","DUHi",14.5,212.5,"DG",1,1,0,1,0,1,"1_1_1_1","202_1_1_1_1","Y",202,"212.5DG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","shh_14.5_16_209-216_DG","DUHi",14.5,212.5,"DG",1,1,0,1,0,1,"1_1_1_1","202_1_1_1_1","Y",202,"212.5DG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","shh_13.5_03_123-130_DB","DUHi",13.5,126.5,"DB",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"126.5DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","shh_15.0_06_259_FD","FVB",15,259,"FD",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","Y",325,"259FD",15,"7/24/2014","FVB",259,"FD",5,TRUE,15,5.55682806169954,"FD",0,5.51758173310363,14.8873172615693,14.9721962731612,5.5399521404033,14.9356982981767,14.9587667389082,14.5565388838269,15.3505832324066,"001",14.9592677865409,14.8944425132931,531
"69","shh_15.0_06_259_FD","FVB",15,259,"FD",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","Y",325,"259FD",15,"7/24/2014","FVB",259,"FD",5,TRUE,15,5.55682806169954,"FD",0,5.51758173310363,14.8873172615693,14.9721962731612,5.5399521404033,14.9356982981767,14.9587667389082,14.5565388838269,15.3505832324066,"001",14.9592677865409,14.8944425132931,532
"70","shh_15.0_07_285_FD","FVB",15,285,"FD",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","Y",325,"285FD",15,"7/24/2014","FVB",285,"FD",5,TRUE,15,5.65248918026865,"FD",0,5.61324285167274,15.0942059434515,15.1790849550434,5.63561325897241,15.1425869800589,15.1659197646251,14.7666206919381,15.562071445991,"001",15.1659952731438,15.1006848319176,535
