,ID,Strain,ident,Age,Weight,Clutch,shh_R2_spot,shh_M1_spot,shh_M2_spot,cap_transition,M1_spot_split_LR,shboob,Total_state,stateord,Symmetry,groupwt,nid
68,shh_14.0_02_128_D,DUHi,59,14,128,DD,1,0,0,0,0,1,1_0_0_1,168_1_0_0_1,Y,168,128DD
133,shh_14.0_26_69_DD,DUHi,53,14,69,DD,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,y,97,69DD
85,shh_14.0_03_166_E,DUHi,27,14,166,DE,1,0,0,0,0,1,1_0_0_1,168_1_0_0_1,-,168,166DE
39,shh_14.0_04_220_E,DUHi,114,15,220,DE,0,1,0,1,0,1,0_1_1_1,211_0_1_1_1,Y,211,220DE
59,shh_14.5_04_144_E,DUHi,23,14.5,144,DE,0,0,0,0,0,1,0_0_0_1,168_0_0_0_1,-,168,144DE
51,shh_14.0_09_140_F,DUHi,68,14,140,DF,2,0,0,0,0,1,2_0_0_1,143_2_0_0_1,-,143,140DF
185,shh_14.0_11_157_F,DUHi,71,14,157,DF,2,0,0,0,0,1,2_0_0_1,143_2_0_0_1,Y,143,157DF
80,shh_14.0_19_139_DF,DUHi,66,14,139,DF,2,0,0,0,0,0,2_0_0_0,120_2_0_0_0,Y,120,139DF
81,shh_14.0_19_139_DF,DUHi,67,14,139,DF,2,0,0,0,0,0,2_0_0_0,120_2_0_0_0,Y,120,139DF
70,shh_14.0_31_237_DG,DUHi,116,14,237,DG,0,2,0,1,0,1,0_2_1_1,235_0_2_1_1,-,235,237DG
177,shh_14.5_01_200_G,DUHi,111,14.5,200,DG,1,0,0,0,0,1,1_0_0_1,168_1_0_0_1,-,168,200DG
94,shh_14.5_03_255-256_G,DUHi,120,14.5,255.5,DG,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,-,331,255.5DG
2,shh_14.5_15_209-216_DG,DUHi,112,14.5,212.5,DG,0,1,0,1,0,1,0_1_1_1,211_0_1_1_1,Y,211,212.5DG
83,shh_14.5_11_196-199_H,DUHi,123,14.5,197.5,DH,0,0,0,0,0,1,0_0_0_1,168_0_0_0_1,-,168,197.5DH
40,shh_14.5_12_196-199_H,DUHi,124,14.5,197.5,DH,1,0,0,0,0,1,1_0_0_1,168_1_0_0_1,-,168,197.5DH
126,shh_14.5_13_211-216_H,DUHi,126,14.5,213.5,DH,1,1,0,1,0,1,1_1_1_1,216_1_1_1_1,-,216,213.5DH
62,shh_14.5_14_163_DH,DUHi,122,14.5,163,DH,0,0,0,0,0,1,0_0_0_1,168_0_0_0_1,y,168,163DH
75,shh_14.5_14_211-216_H,DUHi,125,14.5,213.5,DH,1,0,0,0,0,1,1_0_0_1,168_1_0_0_1,-,168,213.5DH
10,shh_14.5_17_237-241_DH,DUHi,128,14.5,239,DH,0,1,0,1,0,1,0_1_1_1,211_0_1_1_1,y,211,239DH
32,shh_14.5_08_247_I,DUHi,139,14.5,247,DI,0,2,0,1,0,1,0_2_1_1,235_0_2_1_1,-,235,247DI
37,shh_14.5_09_238_I,DUHi,137,14.5,238,DI,0,1,0,1,0,1,0_1_1_1,211_0_1_1_1,y,211,238DI
31,shh_14.5_10_263_I,DUHi,142,14.5,263,DI,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,-,331,263DI
13,shh_14.5_30_268_I,DUHi,143,14.5,268,DI,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,-,331,268DI
72,shh_15.0_04_217-218_J,DUHi,166,15,217.5,DJ,1,1,0,1,0,1,1_1_1_1,216_1_1_1_1,y,216,217.5DJ
4,shh_15.0_05_245_J,DUHi,169,15,245,DJ,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,-,331,245DJ
3,shh_15.0_01_219_K,DUHi,173,15,219,DK,0,1,0,1,0,1,0_1_1_1,211_0_1_1_1,y,211,219DK
30,shh_15.0_02_265_K,DUHi,177,15,265,DK,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,y,331,265DK
34,shh_15.0_03_294_K,DUHi,181,15,294,DK,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,-,331,294DK
139,shh_15.0_06_221_K,DUHi,174,15,221,DK,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,-,331,221DK
22,shh_15.0_07_294_K,DUHi,181,15,294,DK,0,2,0,2,1,1,0_2_2_1,331_0_2_2_1,-,331,294DK
117,shh_15.0_10_242_DK,DUHi,186,15,242,DK,0,2,0,1,1,1,0_2_1_1,235_0_2_1_1,Y,235,242DK
129,shh_15.0_11_262_DK,DUHi,176,15,262,DK,0,2,0,2,1,1,0_2_2_1,331_0_2_2_1,-,331,262DK
175,shh_15.0_12_293_DK,DUHi,180,15,293,DK,0,2,0,2,1,1,0_2_2_1,331_0_2_2_1,-,331,293DK
7,shh_15.0_15_285_DK,DUHi,179,15,285,DK,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,Y,331,285DK
157,shh_15.5_04_457_M,DUHi,204,15.5,457,DM,0,2,0,2,2,1,0_2_2_1,331_0_2_2_1,-,331,457DM
153,shh_15.5_05_483_M,DUHi,206,15.5,483,DM,0,2,0,2,2,1,0_2_2_1,331_0_2_2_1,-,331,483DM
6,shh_15.5_01_359_N,DUHi,209,15.5,359,DN,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,y,331,359DN
82,shh_15.5_02_426_N,DUHi,214,15.5,426,DN,0,2,0,2,2,1,0_2_2_1,331_0_2_2_1,y,331,426DN
123,shh_15.5_03_442_N,DUHi,218,15.5,442,DN,0,2,0,2,2,1,0_2_2_1,331_0_2_2_1,y,331,442DN
165,shh_15.5_15_399_DN,DUHi,212,15.5,399,DN,0,2,0,2,2,1,0_2_2_1,331_0_2_2_1,y,331,399DN
