"","ID","Strain","Age","Weight","Clutch","shh_R2_spot","shh_M1_spot","shh_M2_spot","cap_transition","M1_spot_split_LR","shboob","Total_state","stateord","Symmetry","groupwt","nid","X","Age.dpc.","Date","Strain","Weight","Litter","Weekday","indata","mediantemps","bornemin","bornemax","nid"
"13","shh_13.5_01_124_FA","FVB",13.5,124,"FA",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"124FA",285,13.5,"7/17/2014","FVB",124,"FA",5,TRUE,13.38,12.815,13.9,"124FA"
"118","shh_14.0_14_125_DU","DUHi",14,125,"DU",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","Y",123,"125DU",85,14,"10/14/2014","DUHi",125,"DU",3,TRUE,14.004,13.585,14.451,"125DU"
"126","shh_13.5_04_125_FA","FVB",13.5,125,"FA",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","Y",123,"125FA",286,13.5,"7/17/2014","FVB",125,"FA",5,TRUE,13.394,12.861,13.915,"125FA"
"188","shh_14.0_26_126_DAA","DUHi",14,126,"DAA",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","y",123,"126DAA",49,14,"05/12/14","DUHi",126,"DAA",2,TRUE,13.955,13.475,14.438,"126DAA"
"125","shh_13.5_02_127_FA","FVB",13.5,127,"FA",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","Y",123,"127FA",287,13.5,"7/17/2014","FVB",127,"FA",5,TRUE,13.432,12.883,13.94,"127FA"
"225","shh_13.5_20_127_FV","FVB",13.5,127,"FV",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","-",97,"127FV",323,13.5,"4/30/2015","FVB",127,"FV",5,TRUE,13.473,12.96,14,"127FV"
"3","shh_14.0_02_128_DD","DUHi",14,128,"DD",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"128DD",58,14,"1/20/2014","DUHi",128,"DD",2,TRUE,14.255,13.774,14.728,"128DD"
"15","shh_14.0_07_130_FJ","FVB",14,130,"FJ",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"130FJ",59,14,"1/20/2014","DUHi",128,"DD",2,TRUE,14.247,13.767,14.725,"128DD"
"223","shh_13.5_15_132_FV","FVB",13.5,132,"FV",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","-",97,"132FV",377,14,"12/08/14","FVB",130,"FJ",2,TRUE,13.773,13.25,14.314,"130FJ"
"9","shh_13.5_11_135_DZ","DUHi",13.5,135,"DZ",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"135DZ",324,13.5,"4/30/2015","FVB",132,"FV",5,TRUE,13.557,13.046,14.099,"132FV"
