"","ID","Strain","Age","Weight","Clutch","shh_R2_spot","shh_M1_spot","shh_M2_spot","cap_transition","M1_spot_split_LR","shboob","Total_state","stateord","Symmetry","groupwt","nid","X","Age.dpc.","Date","Strain","Weight","Litter","Weekday","indata","mediantemps","bornemin","bornemax","nid"
"51","shh_15.5_01_359_DN","DUHi",15.5,359,"DN",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","-",325,"359DN",227,15.5,"10/23/2014","DUHi",355,"DV",5,TRUE,15.621,15.148,16.113,"355DV"
"200","shh_14.5_24_359_FS","FVB",14.5,359,"FS",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","y",325,"359FS",209,15.5,"03/12/14","DUHi",359,"DN",4,TRUE,15.402,14.966,15.842,"359DN"
"62","shh_15.5_08_363_DV","DUHi",15.5,363,"DV",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","Y",325,"363DV",468,14.5,"4/28/2015","FVB",359,"FS",3,TRUE,14.647,14.122,15.175,"359FS"
"82","shh_15.5_13_369_DU","DUHi",15.5,369,"DU",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"369DU",229,15.5,"10/23/2014","DUHi",363,"DV",5,TRUE,15.66,15.209,16.151,"363DV"
"83","shh_15.5_14_371_DU","DUHi",15.5,371,"DU",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"371DU",221,15.5,"9/24/2014","DUHi",369,"DU",4,TRUE,16.111,15.672,16.567,"369DU"
"201","shh_14.5_25_373_FS","FVB",14.5,373,"FS",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"373FS",222,15.5,"9/24/2014","DUHi",371,"DU",4,TRUE,16.123,15.677,16.567,"371DU"
"104","shh_15.5_15_399_DN","DUHi",15.5,399,"DN",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","Y",325,"399DN",470,14.5,"4/28/2015","FVB",373,"FS",3,TRUE,14.721,14.203,15.247,"373FS"
"66","shh_16.0_04_424_DO","DUHi",16,424,"DO",0,2,1,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"424DO",212,15.5,"03/12/14","DUHi",399,"DN",4,TRUE,15.583,15.125,16.014,"399DN"
"52","shh_15.5_02_426_DN","DUHi",15.5,426,"DN",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"426DN",235,16,"3/20/2014","DUHi",424,"DO",5,TRUE,15.991,15.541,16.468,"424DO"
"105","shh_15.5_16_427_DN","DUHi",15.5,427,"DN",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","y",325,"427DN",214,15.5,"03/12/14","DUHi",426,"DN",4,TRUE,15.694,15.244,16.141,"426DN"
"57","shh_15.5_03_442_DN","DUHi",15.5,442,"DN",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"442DN",215,15.5,"03/12/14","DUHi",427,"DN",4,TRUE,15.693,15.245,16.14,"427DN"
"71","shh_16.0_07_452_DO","DUHi",16,452,"DO",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"452DO",216,15.5,"03/12/14","DUHi",427,"DN",4,TRUE,15.691,15.259,16.137,"427DN"
"65","shh_16.0_01_455_DO","DUHi",16,455,"DO",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","Y",325,"455DO",218,15.5,"03/12/14","DUHi",442,"DN",4,TRUE,15.751,15.316,16.185,"442DN"
"63","shh_15.5_09_457_DV","DUHi",15.5,457,"DV",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"457DV",236,16,"3/20/2014","DUHi",452,"DO",5,TRUE,16.102,15.665,16.546,"452DO"
"67","shh_16.0_05_476_DO","DUHi",16,476,"DO",0,2,1,2,2,1,"0_2_2_1","325_0_2_2_1","Y",325,"476DO",237,16,"3/20/2014","DUHi",455,"DO",5,TRUE,16.113,15.649,16.558,"455DO"
"68","shh_16.0_06_481_DO","DUHi",16,481,"DO",0,2,1,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"481DO",230,15.5,"10/23/2014","DUHi",457,"DV",5,TRUE,16.06,15.575,16.534,"457DV"
"60","shh_15.5_05_483_DM","DUHi",15.5,483,"DM",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","Y",325,"483DM",238,16,"3/20/2014","DUHi",476,"DO",5,TRUE,16.196,15.751,16.656,"476DO"
"131","shh_13.5_05_67_DQ","DUHi",13.5,67,"DQ",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","Y",97,"67DQ",239,16,"3/20/2014","DUHi",481,"DO",5,TRUE,16.216,15.776,16.679,"481DO"
"151","shh_13.5_05_67_DQ","DUHi",13.5,67,"DQ",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","Y",97,"67DQ",206,15.5,"03/05/14","DUHi",483,"DM",4,TRUE,15.727,15.269,16.189,"483DM"
"217","shh_13.0_03_86_FX","FVB",13,86,"FX",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","y",97,"86FX",28,13.5,"7/30/2014","DUHi",67,"DQ",4,TRUE,12.862,12.382,13.351,"67DQ"
"218","shh_13.0_04_87_FX","FVB",13,87,"FX",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","-",97,"87FX",276,13,"05/12/15","FVB",86,"FX",3,TRUE,12.75,12.246,13.255,"86FX"
"16","shh_13.5_11_88_FK","FVB",13.5,88,"FK",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"88FK",277,13,"05/12/15","FVB",87,"FX",3,TRUE,12.783,12.283,13.263,"87FX"
"168","shh_13.5_07_88_FK","FVB",13.5,88,"FK",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","Y",97,"88FK",293,13.5,"12/10/14","FVB",88,"FK",4,TRUE,13.267,12.739,13.801,"88FK"
"190","shh_13.0_01_90_FX","FVB",13,90,"FX",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","y",97,"90FX",278,13,"05/12/15","FVB",90,"FX",3,TRUE,12.852,12.334,13.36,"90FX"
"165","shh_14.0_12_91_DU","DUHi",14,91,"DU",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","Y",97,"91DU",80,14,"10/14/2014","DUHi",91,"DU",3,TRUE,13.452,13.019,13.888,"91DU"
"219","shh_13.0_05_91_FX","FVB",13,91,"FX",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","-",97,"91FX",279,13,"05/12/15","FVB",91,"FX",3,TRUE,12.87,12.373,13.376,"91FX"
"166","shh_14.0_18_94_DU","DUHi",14,94,"DU",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","-",97,"94DU",81,14,"10/14/2014","DUHi",94,"DU",3,TRUE,13.517,13.057,13.95,"94DU"
"163","shh_13.5_09_99_DZ","DUHi",13.5,99,"DZ",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","Y",97,"99DZ",37,13.5,"11/19/2014","DUHi",99,"DZ",4,TRUE,13.328,12.864,13.774,"99DZ"
