	Age(dpc)	Date	Strain	Weight	Litter	Weekday
121	14.5	03/17/16	FVB	352	FAS	5
122	14.5	03/17/16	FVB	363	FAS	5
123	14.5	04/02/16	FVB	236	FAT	5
124	14.5	04/02/16	FVB	236	FAT	5
125	14.5	04/02/16	FVB	251	FAT	5
126	14.5	04/02/16	FVB	261	FAT	5
127	14.5	04/02/16	FVB	263	FAT	5
128	14.5	03/24/16	FVB	342	FAU	5
129	14.5	03/24/16	FVB	353	FAU	5
130	14.5	03/24/16	FVB	369	FAU	5
131	14.5	03/24/16	FVB	373	FAU	5
132	14.5	03/24/16	FVB	390	FAU	5
133	14.5	03/24/16	FVB	397	FAU	5
134	14.5	03/24/16	FVB	398	FAU	5
135	14.5	03/24/16	FVB	407	FAU	5
136	14.5	03/24/16	FVB	408	FAU	5
137	14.5	03/24/16	FVB	353	FAU	5
138	14.5	4/23/2014	FVB	178	FC	4
139	14.5	4/23/2014	FVB	193	FC	4
140	14.5	4/23/2014	FVB	197	FC	4
141	14.5	4/23/2014	FVB	199	FC	4
142	14.5	4/23/2014	FVB	200	FC	4
143	14.5	4/23/2014	FVB	204	FC	4
144	14.5	4/23/2014	FVB	207	FC	4
145	14.5	4/23/2014	FVB	217	FC	4
146	14.5	4/23/2014	FVB	223	FC	4
147	14.5	12/11/2014	FVB	155	FL	5
148	14.5	12/11/2014	FVB	193	FL	5
149	14.5	12/11/2014	FVB	201	FL	5
150	14.5	12/11/2014	FVB	211	FL	5
151	14.5	12/11/2014	FVB	221	FL	5
152	14.5	12/11/2014	FVB	238	FL	5
153	14.5	12/11/2014	FVB	246	FL	5
154	14.5	2/11/2015	FVB	125	FO	4
155	14.5	2/11/2015	FVB	138	FO	4
156	14.5	2/11/2015	FVB	165	FO	4
157	14.5	2/11/2015	FVB	170	FO	4
158	14.5	2/11/2015	FVB	138	FO	4
159	14.5	2/11/2015	FVB	165	FO	4
160	14.5	2/11/2015	FVB	170	FO	4
161	14.5	2/25/2015	FVB	195	FP	4
162	14.5	2/25/2015	FVB	196	FP	4
163	14.5	2/25/2015	FVB	197	FP	4
164	14.5	2/25/2015	FVB	198	FP	4
165	14.5	2/25/2015	FVB	199	FP	4
166	14.5	2/25/2015	FVB	200	FP	4
167	14.5	2/25/2015	FVB	205	FP	4
168	14.5	2/25/2015	FVB	210	FP	4
169	14.5	2/25/2015	FVB	215	FP	4
170	14.5	2/25/2015	FVB	223	FP	4
171	14.5	2/26/2015	FVB	138	FQ	5
172	14.5	2/26/2015	FVB	167	FQ	5
173	14.5	2/26/2015	FVB	179	FQ	5
174	14.5	2/26/2015	FVB	183	FQ	5
175	14.5	2/26/2015	FVB	184	FQ	5
176	14.5	2/26/2015	FVB	185	FQ	5
177	14.5	2/26/2015	FVB	188	FQ	5
178	14.5	2/26/2015	FVB	189	FQ	5
179	14.5	2/26/2015	FVB	205	FQ	5
180	14.5	2/26/2015	FVB	223	FQ	5
181	14.5	3/4/2015	FVB	161	FR	4
182	14.5	3/4/2015	FVB	162	FR	4
183	14.5	3/4/2015	FVB	163	FR	4
184	14.5	3/4/2015	FVB	187	FR	4
185	14.5	3/4/2015	FVB	189	FR	4
186	14.5	3/4/2015	FVB	195	FR	4
187	14.5	3/4/2015	FVB	198	FR	4
188	14.5	3/4/2015	FVB	200	FR	4
189	14.5	4/28/2015	FVB	332	FS	3
190	14.5	4/28/2015	FVB	339	FS	3
191	14.5	4/28/2015	FVB	344	FS	3
192	14.5	4/28/2015	FVB	353	FS	3
193	14.5	4/28/2015	FVB	356	FS	3
194	14.5	4/28/2015	FVB	359	FS	3
195	14.5	4/28/2015	FVB	365	FS	3
196	14.5	4/28/2015	FVB	373	FS	3
197	14.5	5/12/2015	FVB	290	FW	3
198	14.5	5/12/2015	FVB	310	FW	3
199	14.5	5/12/2015	FVB	311	FW	3
200	14.5	5/12/2015	FVB	314	FW	3
201	14.5	5/12/2015	FVB	325	FW	3
202	14.5	5/12/2015	FVB	329	FW	3
203	14.5	5/12/2015	FVB	339	FW	3
204	14.5	5/12/2015	FVB	340	FW	3
205	14.5	5/12/2015	FVB	341	FW	3
206	14.5	5/12/2015	FVB	349	FW	3
207	14.5	5/13/2015	FVB	171	FZ	4
208	14.5	5/13/2015	FVB	190	FZ	4
209	14.5	5/13/2015	FVB	197	FZ	4
210	14.5	5/13/2015	FVB	206	FZ	4
211	14.5	5/13/2015	FVB	207	FZ	4
212	14.5	5/13/2015	FVB	209	FZ	4
213	14.5	5/13/2015	FVB	212	FZ	4
214	14.5	5/13/2015	FVB	214	FZ	4
215	14.5	5/13/2015	FVB	218	FZ	4
216	14.5	5/13/2015	FVB	221	FZ	4
217	15	5/27/2015	FVB	151	FAA	4
218	15	5/27/2015	FVB	229	FAA	4
219	15	5/27/2015	FVB	236	FAA	4
220	15	5/27/2015	FVB	241	FAA	4
221	15	5/27/2015	FVB	248	FAA	4
222	15	5/27/2015	FVB	249	FAA	4
223	15	5/27/2015	FVB	257	FAA	4
224	15	5/27/2015	FVB	258	FAA	4
225	15	5/27/2015	FVB	259	FAA	4
226	15	9/3/2015	FVB	264	FAC	5
227	15	9/3/2015	FVB	268	FAC	5
228	15	9/3/2015	FVB	272	FAC	5
229	15	9/3/2015	FVB	274	FAC	5
230	15	9/3/2015	FVB	275	FAC	5
231	15	9/3/2015	FVB	281	FAC	5
232	15	9/3/2015	FVB	291	FAC	5
233	15	10/7/2015	FVB	219	FAF	4
234	15	10/7/2015	FVB	238	FAF	4
235	15	10/7/2015	FVB	247	FAF	4
236	15	10/7/2015	FVB	255	FAF	4
237	15	10/7/2015	FVB	261	FAF	4
238	15	10/7/2015	FVB	264	FAF	4
239	15	10/7/2015	FVB	267	FAF	4
240	15	10/7/2015	FVB	275	FAF	4
241	15	10/7/2015	FVB	276	FAF	4
242	15	10/7/2015	FVB	288	FAF	4
243	15	10/30/2015	FVB	251	FAK	6
244	15	10/30/2015	FVB	271	FAK	6
245	15	10/30/2015	FVB	277	FAK	6
246	15	10/30/2015	FVB	278	FAK	6
247	15	10/30/2015	FVB	279	FAK	6
248	15	10/30/2015	FVB	290	FAK	6
249	15	03/25/16	FVB	239	FAV	6
250	15	03/25/16	FVB	240	FAV	6
251	15	03/25/16	FVB	241	FAV	6
252	15	03/25/16	FVB	244	FAV	6
253	15	03/25/16	FVB	248	FAV	6
254	15	03/25/16	FVB	253	FAV	6
255	15	03/25/16	FVB	254	FAV	6
256	15	03/25/16	FVB	258	FAV	6
257	15	03/25/16	FVB	259	FAV	6
258	15	03/25/16	FVB	260	FAV	6
259	15	03/25/16	FVB	261	FAV	6
260	15	03/25/16	FVB	266	FAV	6
261	15	03/25/16	FVB	268	FAV	6
262	15	7/24/2014	FVB	246	FC	5
263	15	7/24/2014	FVB	256	FD	5
264	15	7/24/2014	FVB	259	FD	5
265	15	7/24/2014	FVB	259	FD	5
266	15	7/24/2014	FVB	273	FD	5
267	15	7/24/2014	FVB	277	FD	5
268	15	7/24/2014	FVB	285	FD	5
269	15	7/24/2014	FVB	285	FD	5
270	15	7/24/2014	FVB	293	FD	5
271	15.5	9/3/2015	FVB	319	FAD	5
272	15.5	9/3/2015	FVB	335	FAD	5
273	15.5	9/3/2015	FVB	337	FAD	5
274	15.5	9/3/2015	FVB	338	FAD	5
275	15.5	9/3/2015	FVB	339	FAD	5
276	15.5	9/3/2015	FVB	348	FAD	5
277	15.5	9/3/2015	FVB	352	FAD	5
278	15.5	9/3/2015	FVB	354	FAD	5
279	15.5	9/3/2015	FVB	364	FAD	5
280	15.5	9/3/2015	FVB	403	FAD	5
281	16	10/21/2015	FVB	329	FAI	4
282	16	10/21/2015	FVB	369	FAI	4
283	16	10/21/2015	FVB	375	FAI	4
284	16	10/21/2015	FVB	385	FAI	4
285	16	10/21/2015	FVB	387	FAI	4
286	16	10/21/2015	FVB	391	FAI	4
287	16	10/21/2015	FVB	402	FAI	4
288	16	10/21/2015	FVB	406	FAI	4
289	16	10/21/2015	FVB	407	FAI	4
290	16	10/21/2015	FVB	411	FAI	4
291	16	05/02/16	FVB	350	FAN	6
292	16	05/02/16	FVB	381	FAN	6
293	16	05/02/16	FVB	407	FAN	6
294	16	05/02/16	FVB	409	FAN	6
295	16	05/02/16	FVB	413	FAN	6
296	16	05/02/16	FVB	419	FAN	6
297	16	02/03/16	FVB	355	FAO	4
298	16	02/03/16	FVB	406	FAO	4
299	16	02/03/16	FVB	413	FAO	4
300	16	02/03/16	FVB	417	FAO	4
301	16	02/03/16	FVB	420	FAO	4
302	16	02/03/16	FVB	451	FAO	4
303	16	03/17/16	FVB	333	FAR	5
304	16	03/17/16	FVB	339	FAR	5
305	16	03/17/16	FVB	346	FAR	5
306	16	03/17/16	FVB	371	FAR	5
307	16	03/17/16	FVB	394	FAR	5
308	16	03/17/16	FVB	395	FAR	5
309	16	03/17/16	FVB	407	FAR	5
310	16	03/17/16	FVB	431	FAR	5
311	16	03/17/16	FVB	435	FAR	5
312	16	7/31/2014	FVB	326	FF	5
313	16	7/31/2014	FVB	356	FF	5
314	16	7/31/2014	FVB	394	FF	5
315	16	7/31/2014	FVB	402	FF	5
316	16	7/31/2014	FVB	404	FF	5
317	16	7/31/2014	FVB	406	FF	5
318	16	7/31/2014	FVB	416	FF	5
319	16	7/31/2014	FVB	437	FF	5
320	17	10/22/2015	FVB	537	FAJ	5
321	17	10/22/2015	FVB	543	FAJ	5
322	17	10/22/2015	FVB	619	FAJ	5
323	17	10/22/2015	FVB	620	FAJ	5
324	17	10/22/2015	FVB	632	FAJ	5
325	17	10/22/2015	FVB	634	FAJ	5
326	17	10/22/2015	FVB	684	FAJ	5
327	17	10/22/2015	FVB	689	FAJ	5
328	17	10/22/2015	FVB	693	FAJ	5
329	17	10/22/2015	FVB	695	FAJ	5
330	17	10/22/2015	FVB	757	FAJ	5
331	17	7/24/2014	FVB	554	FG	5
332	17	7/24/2014	FVB	566	FG	5
333	17	7/24/2014	FVB	568	FG	5
334	17	7/24/2014	FVB	577	FG	5
335	17	7/24/2014	FVB	583	FG	5
336	17	7/24/2014	FVB	593	FG	5
337	17	7/24/2014	FVB	622	FG	5
338	17	7/24/2014	FVB	623	FG	5
339	17	7/24/2014	FVB	633	FG	5
340	17	7/24/2014	FVB	634	FG	5
341	17	7/24/2014	FVB	645	FG	5
342	17.5	10/19/2015	FVB	798	FAH	2
343	17.5	10/19/2015	FVB	884	FAH	2
344	17.5	10/19/2015	FVB	894	FAH	2
345	17.5	10/19/2015	FVB	914	FAH	2
346	17.5	10/19/2015	FVB	925	FAH	2
347	17.5	10/19/2015	FVB	927	FAH	2
348	17.5	10/19/2015	FVB	929	FAH	2
