"Age.dpc."	"Date"	"Strain"	"Weight"	"Litter"	"Weekday"	"indata"	"age"	"poids"	"portee"	"agerel"	"poidscor"	"agecor"	"agepreditsanscor"	"poidscor2"	"agecor2"	"dev"	"dev.inf"	"dev.sup"
"405"	13.5	"1/20/2014"	"DUHi"	111	"DB"	2	FALSE	13.5	4.70953020131233	"DB"	-1.5	4.52080156015944	13.2349601236109	13.5872579080962	4.62837688561659	13.4357698607675	13.568956805007	13.2818676412945	13.8368255258469
"406"	13.5	"1/20/2014"	"DUHi"	115	"DB"	2	FALSE	13.5	4.74493212836325	"DB"	-1.5	4.55620348721036	13.3010445313105	13.6533423157958	4.66377881266751	13.5018542684671	13.6348937231516	13.3530056438194	13.899172444842
"407"	13.5	"1/20/2014"	"DUHi"	117	"DB"	2	FALSE	13.5	4.76217393479776	"DB"	-1.5	4.57344529364486	13.3332296314114	13.6855274158967	4.68102061910201	13.534039368568	13.6670023697141	13.3873535794681	13.9294961699139
"408"	13.5	"1/20/2014"	"DUHi"	123	"DB"	2	FALSE	13.5	4.81218435537242	"DB"	-1.5	4.62345571421952	13.4265835614879	13.7788813459732	4.73103103967667	13.6273932986445	13.760366613158	13.4864775337868	14.01811199418
"409"	13.5	"1/20/2014"	"DUHi"	124	"DB"	2	FALSE	13.5	4.82028156560504	"DB"	-1.5	4.63155292445214	13.4416985393102	13.7939963237955	4.73912824990929	13.6425082764669	13.7755034146386	13.5024156706968	14.0328692040371
"410"	13.5	"1/20/2014"	"DUHi"	129	"DB"	2	FALSE	13.5	4.85981240436167	"DB"	-1.5	4.67108376320878	13.5154903433933	13.8677881278785	4.77865908866593	13.7163000805499	13.8490376917439	13.5809861819232	14.1026272671753
"411"	13.5	"1/20/2014"	"DUHi"	130	"DB"	2	FALSE	13.5	4.86753445045558	"DB"	-1.5	4.67880580930269	13.5299050062338	13.8822027907191	4.78638113475984	13.7307147433904	13.8633679265426	13.5961236260452	14.115986891839
"412"	13.5	"1/20/2014"	"DUHi"	135	"DB"	2	FALSE	13.5	4.90527477843843	"DB"	-1.5	4.71654613728554	13.6003544825448	13.9526522670301	4.82412146274268	13.8011642197014	13.9335327412896	13.671263415476	14.1833730792966
"413"	13.5	"1/20/2014"	"DUHi"	144	"DB"	2	FALSE	13.5	4.969813299576	"DB"	-1.5	4.78108465842311	13.7208278662974	14.0731256507827	4.88865998388026	13.9216376034541	14.0538694655045	13.7975577424291	14.2982219465445
"414"	13.5	"1/20/2014"	"DUHi"	144	"DB"	2	FALSE	13.5	4.969813299576	"DB"	-1.5	4.78108465842311	13.7208278662974	14.0731256507827	4.88865998388026	13.9216376034541	14.0538694655045	13.7975577424291	14.2982219465445
"415"	13.5	"1/20/2014"	"DUHi"	154	"DB"	2	FALSE	13.5	5.03695260241363	"DB"	-1.5	4.84822396126074	13.8461561021025	14.1984538865878	4.95579928671788	14.0469658392591	14.1792510692112	13.929418999726	14.4194659435662
"416"	13.5	"1/20/2014"	"DUHi"	156	"DB"	2	FALSE	13.5	5.04985600724954	"DB"	-1.5	4.86112736609664	13.8702427532236	14.2225405377089	4.96870269155379	14.0710524903802	14.2031987162759	13.9547078967357	14.442661065143
"417"	13.5	"1/20/2014"	"DUHi"	165	"DB"	2	FALSE	13.5	5.10594547390058	"DB"	-1.5	4.91721683274769	13.9749443751577	14.327242159643	5.02479215820484	14.1757541123143	14.3078423567196	14.0633929904497	14.5444191679817
"428"	13.5	"7/30/2014"	"DUHi"	67	"DQ"	4	TRUE	13.5	4.20469261939097	"DQ"	-1.5	4.31396247068026	12.8488557542723	12.6448828634323	4.25167865544536	12.7325912064935	12.6630594613393	12.2955708420712	12.9955998764306
"429"	13.5	"7/30/2014"	"DUHi"	81	"DQ"	4	FALSE	13.5	4.39444915467244	"DQ"	-1.5	4.50371900596173	13.2030722979982	12.9990994071582	4.44143519072683	13.0868077502194	13.0170801769611	12.6838975214074	13.3185552405336
"430"	13.5	"7/30/2014"	"DUHi"	91	"DQ"	4	FALSE	13.5	4.51085950651685	"DQ"	-1.5	4.62012935780614	13.4203742866916	13.2164013958517	4.55784554257124	13.3041097389129	13.2339896294077	12.9197753689932	13.5188097897154
"431"	13.5	"7/30/2014"	"DUHi"	101	"DQ"	4	TRUE	13.5	4.61512051684126	"DQ"	-1.5	4.72439036813055	13.6149972263849	13.4110243355449	4.66210655289565	13.4987326786061	13.4284214650383	13.1310366634131	13.7006126740759
"432"	13.5	"7/30/2014"	"DUHi"	104	"DQ"	4	FALSE	13.5	4.64439089914137	"DQ"	-1.5	4.75366075043066	13.6696359434995	13.4656630526595	4.69137693519577	13.5533713957207	13.4828266752893	13.1901252559373	13.7520343742739
"433"	13.5	"7/30/2014"	"DUHi"	108	"DQ"	4	FALSE	13.5	4.68213122712422	"DQ"	-1.5	4.79140107841351	13.7400854198104	13.5361125289705	4.72911726317861	13.6238208720317	13.5530579303207	13.2666283483574	13.8176305092374
"434"	13.5	"7/30/2014"	"DUHi"	113	"DQ"	4	TRUE	13.5	4.72738781871234	"DQ"	-1.5	4.83665767000163	13.8245654269384	13.6205925360985	4.77437385476674	13.7083008791596	13.6369980752409	13.3574172466746	13.8960619591981
"435"	13.5	"7/30/2014"	"DUHi"	98	"DQ"	4	FALSE	13.5	4.58496747867057	"DQ"	-1.5	4.69423732995986	13.5587108647699	13.35473797393	4.63195351472497	13.4424463169911	13.3725195754664	13.0694617399912	13.6475122728181
"436"	13.5	"11/19/2014"	"DUHi"	88	"DZ"	4	FALSE	13.5	4.47733681447821	"DZ"	-1.5	4.44195785839776	13.0877834085051	13.1538249365339	4.46212386336361	13.1254270794815	13.1544421996312	12.8338491692214	13.4463214073617
"437"	13.5	"11/19/2014"	"DUHi"	99	"DZ"	4	TRUE	13.5	4.59511985013459	"DZ"	-1.5	4.55974089405414	13.3076477717423	13.3736892997711	4.57990689902	13.3452914427187	13.3740714619196	13.0712743616156	13.6494524914216
"438"	13.5	"11/19/2014"	"DUHi"	107	"DZ"	4	TRUE	13.5	4.67282883446191	"DZ"	-1.5	4.63744987838145	13.4527063216575	13.5187478496864	4.65761588334731	13.490349992634	13.5184753223649	13.2277108921862	13.7848047348454
"439"	13.5	"11/19/2014"	"DUHi"	109	"DZ"	4	FALSE	13.5	4.69134788222914	"DZ"	-1.5	4.65596892614869	13.4872756348223	13.5533171628511	4.67613493111455	13.5249193057987	13.5527801056904	13.2649403046236	13.8173726421832
"440"	13.5	"11/19/2014"	"DUHi"	110	"DZ"	4	TRUE	13.5	4.70048036579242	"DZ"	-1.5	4.66510140971196	13.5043231465647	13.5703646745936	4.68526741467782	13.5419668175412	13.5697579163164	13.2828143596114	13.8333483851178
"441"	13.5	"11/19/2014"	"DUHi"	111	"DZ"	4	FALSE	13.5	4.70953020131233	"DZ"	-1.5	4.67415124523188	13.5212163800673	13.5872579080962	4.69431725019774	13.5588600510438	13.5865813671443	13.3005829875062	13.8488374922236
